id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
49943668,Student Only Property: Boutique Silver Studio - LOS 12 months v20,226804666,,,Central,51.45717,-2.59267,Entire home/apt,60,365,0,,,50,358
49943690,Student Only Property: Private Bronze Studio - LOS 12 months v20,226804666,,,Central,51.45586,-2.59453,Entire home/apt,59,365,0,,,50,358
49975525,Stylish Flat with courtyard in Central Bristol,403015546,Renata,,Lawrence Hill,51.46049,-2.57921,Entire home/apt,99,2,5,2021-07-11,3.66,1,124
49996855,Luxury Apartment in the heart of Clifton,25052295,Benjamin,,Clifton,51.45831,-2.61428,Entire home/apt,164,1,6,2021-07-11,4.39,1,12
49998678,Your Apartment Thorndale #1,125651447,Your Apartment,,Clifton Down,51.46363,-2.61353,Entire home/apt,206,1,3,2021-06-23,2.09,75,337
50014607,Spacious double room in the heart of bristol,45568152,Ana,,Hotwells & Harbourside,51.45359,-2.60451,Private room,54,1,4,2021-07-11,2.55,1,196
50018862,Bright Terraced House,30844161,Dayna,,Easton,51.4694,-2.56393,Private room,120,1,0,,,3,14
50020222,Bright two bedroom space with bathroom,30844161,Dayna,,Easton,51.46727,-2.56469,Private room,120,1,0,,,3,84
50021882,Bright two bedroom space with bathroom,30844161,Dayna,,Easton,51.46777,-2.56321,Private room,120,1,3,2021-07-11,2.57,3,59
50024352,"Beautiful flat with balcony & lake views, Bristol",403463288,Kayleigh,,Bishopsworth,51.41404,-2.60339,Entire home/apt,73,1,9,2021-07-15,7.50,1,13
